id,category_id,vendor_id,name,short_description,long_description,term_and_condition,payment_type_id,voucher_type_id,member_type_id,redeem_type_id,price,discount_rate,thumbnail,images,valid_from,valid_until,country,region,lat,lng,quantity_available,quantity_left,limit_per_user,loyalty_point_required,is_active,created_at,updated_at
1,5,12,"Win Free Ticket To Bali Only For 1 Person!",short_desc,"Haven't got any plan for upcoming holiday? 
Let's join the others by upgrading your member status to premium member. 
By using VexGift, you can get a chance for win and free trip to bali!","1. To participate on this lucky draw, you have to upgrade your member status to premium member first.
2. All of the winner will be provided only two-way ticket by VexGift.
3. The Lucky Draw will be held on 04 October 2018, although the quota is not full on the date that has been set.
4. Winner will be announced on VexGift blog and social media.
5. VexGift can change the term and condition without further notice.
6. Winner cann’t converted the prize to Rupiah or any other things.
",2,3,2,2,3000,NULL,http://cdn.vexgift.com/vouchers/banner/bali.webp?v=001,NULL,1535184000,1538672340,All,NULL,NULL,NULL,13,30,1,0,0,"2018-08-25 00:00:00","2018-10-03 14:29:18"
2,5,12,"Win Free Ticket To Singapore Only For 1 Person!",short_desc,"Haven't got any plan for upcoming holiday? Let's join the others by upgrading your member status to premium member.  
By using VexGift, you can get a chance for win and free trip to Singapore!","1. To participate on this lucky draw, you have to upgrade your member status to premium member first.
2. All of the winner will be provided only two-way ticket by VexGift.
3. The Lucky Draw will be held on 02 October 2018, although the quota is not full on the date that has been set.
4. Winner will be announced on VexGift blog and social media.
5. VexGift can change the term and condition without further notice.
6. Winner cann’t converted the prize to Rupiah or any other things.",2,3,2,2,3000,NULL,http://cdn.vexgift.com/vouchers/banner/singapore.webp?v=001,NULL,1535184000,1538499540,All,NULL,NULL,NULL,15,30,1,0,0,"2018-08-25 00:00:00","2018-10-02 14:21:15"
3,1,12,"Win Free Redmi Note 5 Only For 2 People!",short_desc,"Can't get rid of your slow smartphone? 
Let's join the others by upgrading your member status to premium member. 
By using VexGift, you can get a chance to win Redmi Note 5 for free!","1. To participate on this lucky draw, you have to upgrade your member status to premium member first.
2. All of the winner will get the type of smartphone according to the voucher.
3. The first Lucky Draw will be held on 28 September 2018 for the first 35 user that redeem the Lucky Draw voucher.
4. The next Lucky Draw will be held on 05 October 2018 , althought the quota is not full on the date that has been set. 
5. Winner will be announced on VexGift blog and social media.
6. If there are any loss or damage during the shipment process, that is outside of Vexgift authority.
7. Winner cann’t converted the prize to Rupiah or any other things.
8. VexGift can change the term and condition without further notice.
",2,3,2,1,1000,NULL,http://cdn.vexgift.com/vouchers/banner/redminote5.webp,NULL,1535184000,1548003599,All,NULL,NULL,NULL,6,70,1,0,0,"2018-08-25 00:00:00","2018-10-05 17:15:38"
4,1,1,"Amazon Value Voucher 25$ USD",short_desc,long_desc,terms,1,1,1,1,0,NULL,http://cdn.vexgift.com/vouchers/banner/amazon.webp,NULL,1535184000,1540486799,All,NULL,NULL,NULL,100,100,1,0,0,"2018-08-25 00:00:00",NULL
5,2,1,"KFC Value Voucher 100K IDR","Kepengen banget makan ayam goreng yang crispy? Yuk, Cobain penawaran terbaik dari VEX-Gift kamu akan mendapatkan potongan transaksi sebesar 100.000 untuk pemesanan produk apapun di seluruh KFC di indonesia tanpa minimal transaksi. Kapan lagi dapat penawaran terbaik seperti ini.","Craving for crispy fried chicken? By using VexGift you could get voucher discount worth IDR 100.000 that you could use on every KFC restaurant in Indonesia. Get your voucher now!","1. Voucher could be used without minimum purchase.
2. Vouchers applies for dine-in and take away.
3. Voucher cannot be combined with others voucher.
4. Voucher cannot be converted to Rupiah or any other else.
5. Do not press ""Redeem Voucher"", this process will be done by outlet staff.
6. KFC Indonesia reserves the right to cancel any order both new and ongoing transaction if there is any violation of this promotion.
7. Any term and condition can change without any further notice from KFC Indonesia.",2,1,2,2,2000,NULL,http://cdn.vexgift.com/vouchers/banner/kfc100.webp,NULL,1535184000,1538067599,All,NULL,NULL,NULL,0,50,1,0,1,"2018-08-25 00:00:00","2018-09-25 14:56:52"
6,2,1,"KFC Value Voucher 50K IDR","Craving for crispy fried chicken? By using VexGift you could get voucher discount worth IDR 50.000 that you could use on every KFC restaurant in Indonesia. Get your voucher now!","Craving for crispy fried chicken? By using VexGift you could get voucher discount worth IDR 50.000 that you could use on every KFC restaurant in Indonesia. Get your voucher now!","1. Voucher could be used without minimum purchase
2. Vouchers applies for dine-in and take away
3. Voucher cannot be combined with others voucher
4. Voucher cannot be converted to Rupiah or any other else
5. Do not press "Redeem Voucher", this process will be done by outlet staff
6. KFC Indonesia reserves the right to cancel any order both new and ongoing transaction if there is any violation of this promotion.
7. Any term and condition can change without any further notice from KFC Indonesia
",2,1,2,2,1000,NULL,http://cdn.vexgift.com/vouchers/banner/kfc50k.webp,NULL,1535184000,1538067599,All,NULL,NULL,NULL,0,50,1,0,1,"2018-08-25 00:00:00","2018-09-25 20:41:07"
7,1,1,"Hotels Value Voucher 25$ USD",short_desc,long_desc,terms,1,1,1,1,0,NULL,http://cdn.vexgift.com/vouchers/banner/hotels.webp,NULL,1535184000,1540486799,All,NULL,NULL,NULL,100,100,1,0,0,"2018-08-25 00:00:00",NULL
